urls,title,company_name,experience,location,keyskills
https://www.naukri.com/job-listings-mainframe-developer-capgemini-technology-services-india-limited-bengaluru-bangalore-4-to-6-years-251120903247?src=jobsearchDesk&sid=16068097037717073&xp=1&px=1,Mainframe Developer,Capgemini Technology Services India Limited,4-6 Yrs,Bengaluru,"VSAM,System testing,JCL,Db2,Coding,Technical design,Cics,Cobol"
https://www.naukri.com/job-listings-mainframe-developer-ibm-india-pvt-limited-bengaluru-bangalore-3-to-6-years-251120902534?src=jobsearchDesk&sid=16068097037717073&xp=2&px=1,Mainframe Developer,IBM India Pvt. Limited,3-6 Yrs,Bengaluru,"Maven,DB2 Connect,OPC,Spring Boot,QMF,SPSS modeler,SPUFI,PLI"
https://www.naukri.com/job-listings-mainframe-support-capgemini-technology-services-india-limited-bengaluru-bangalore-4-to-6-years-251120903241?src=jobsearchDesk&sid=16068097037717073&xp=3&px=1,Mainframe Support,Capgemini Technology Services India Limited,4-6 Yrs,Bengaluru,"VSAM,JCL,Application support,Production support,Db2,Cics,Analytical,Cobol"
https://www.naukri.com/job-listings-application-architect-mainframe-modernization-ibm-india-pvt-limited-bengaluru-bangalore-7-to-10-years-251120900719?src=jobsearchDesk&sid=16068097037717073&xp=4&px=1,Application Architect: Mainframe Modernization,IBM India Pvt. Limited,7-10 Yrs,Bengaluru,"DBB,Rdz,UCDz,Mainframer,Application development,JCL,PL1,Db2"
https://www.naukri.com/job-listings-application-architect-mainframe-modernization-ibm-india-pvt-limited-bengaluru-bangalore-8-to-10-years-251120900511?src=jobsearchDesk&sid=16068097037717073&xp=5&px=1,Application Architect: Mainframe Modernization,IBM India Pvt. Limited,8-10 Yrs,Bengaluru,"Unicode,DBB,UCDz,z/OS,Application development,WebSphere Application Server,JCL,PL1"
https://www.naukri.com/job-listings-application-architect-mainframe-modernization-ibm-india-pvt-limited-bengaluru-bangalore-5-to-7-years-241120906536?src=jobsearchDesk&sid=16068097037717073&xp=6&px=1,Application Architect: Mainframe Modernization,IBM India Pvt. Limited,5-7 Yrs,Bengaluru,"JCL,PL1,Db2,REXX,Cics,Cobol,Rdz,IMS DB"
https://www.naukri.com/job-listings-application-architect-mainframe-modernization-ibm-india-pvt-limited-bengaluru-bangalore-4-to-8-years-241120904416?src=jobsearchDesk&sid=16068097037717073&xp=7&px=1,Application Architect: Mainframe Modernization,IBM India Pvt. Limited,4-8 Yrs,Bengaluru,"JCL,Db2,REXX,Cics,Cobol,Rdz,IMS DB,Assembler"
https://www.naukri.com/job-listings-application-architect-mainframe-modernization-ibm-india-pvt-limited-bengaluru-bangalore-6-to-11-years-241120900174?src=jobsearchDesk&sid=16068097037717073&xp=8&px=1,Application Architect - Mainframe Modernization,IBM India Pvt. Limited,6-11 Yrs,Bengaluru,"JCL,PL1,Db2,REXX,Cics,Cobol,Rdz,IMS DB"
https://www.naukri.com/job-listings-application-architect-mainframe-modernization-ibm-india-pvt-limited-bengaluru-bangalore-4-to-7-years-191120903845?src=jobsearchDesk&sid=16068097037717073&xp=9&px=1,Application Architect: Mainframe Modernization,IBM India Pvt. Limited,4-7 Yrs,Bengaluru,"JCL,Db2,REXX,Cics,Application programming,Cobol,Rdz,Mainframe"
https://www.naukri.com/job-listings-genpact-is-hiring-for-mainframe-developers-bangalore-headstrong-services-india-private-limited-bengaluru-bangalore-3-to-8-years-261120002448?src=jobsearchDesk&sid=16068097037717073&xp=10&px=1,Genpact is Hiring For Mainframe Developers @ Bangalore,Genpact Headstrong Capital Markets,3-8 Yrs,Bengaluru,"MQ,Db2,Cobol,Mainframes"
